,pos,name,cat1,cat2,x,y,url,id
93,1.93,MHC (Moerser-Heinkel-Club) Moers e.V.,"['--ALLE--', 'Sportvereine']",Motorsport,51.4516041,6.6408148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/BFEB49F53516B30CC125724900488C82,93
94,1.94,Moerser - Adler - HSG  2009,"['--ALLE--', 'Sportvereine']",Handball,51.4148726,6.5899817,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/A9E2DF49343BB101C12575B5002D22E8,94
95,1.95,Moerser Astronomische Organisation e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.44887,6.66039,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/5894845553A41534C125724900488CB1,95
96,1.96,Moerser Gesellschaft zur Förderung des literarischen Lebens e.V.,"['--ALLE--', 'Kulturvereine']",Sonstige Kulturvereine,51.4516041,6.6408148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/4BB94D645B375F50C125724900488C38,96
97,1.97,Moerser Kammerchor,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.4217674,6.5956646,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/2B374CA625BCF6A9C125724900488C4D,97
98,1.98,Moerser KG Humorica 69 e.V.,"['--ALLE--', 'Kulturvereine']",Karneval,51.4418805,6.6263796,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/57696546972A2FB9C125724900488C5D,98
99,1.99,Moerser Palette e.V.,"['--ALLE--', 'Kulturvereine']",Kunst,51.43587,6.66478,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/3F094BEB056F7BE9C125724900488C39,99
100,1.100,Moerser Sportclub 1985 e.V.,"['--ALLE--', 'Sportvereine']","['Handball', 'Leichtathletik', 'Volleyball']",51.45011,6.63313,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/909019DF6D675221C125724900488C83,100
101,1.101,Moerser Sportschützen 1952 e.V.,"['--ALLE--', 'Sportvereine']",Schießsport,51.485568,6.6332384,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/85293C9FE66A74DAC125724900488C84,101
102,1.102,Moerser Tafel e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.45313,6.6384,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/F647D3D091282B4EC125749C0030BAD7,102
103,1.103,Moerser Turnverein von 1850 e.V.,"['--ALLE--', 'Sportvereine']","['Aerobic', 'Badminton', 'Basketball', 'Gesundheitssport', 'Gymnastik', 'Hockey', 'Langlauf', 'Leichtathletik', 'Reha-Sport', 'Schwimmen', 'Tischtennis', 'Triathlon', 'Turnen', 'Volleyball', 'Walking']",51.4458211,6.6193298,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/D9FFD1E3D75D1FE5C125724900488C85,103
104,1.104,MSV Moers 13/20 e.V.,"['--ALLE--', 'Sportvereine']","['Eltern-Kind-Turnen', 'Faustball', 'Fußball', 'Gymnastik', 'Kinderturnen', 'Sportabzeichen', 'Tennis', 'Turnen']",51.4635907,6.6475853,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/08EF9A017B834B90C125724900488C86,104
105,1.105,Musikalische Gesellschaft Moers e.V.,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.4213409,6.594462,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/268AD22DDEA88FCDC125724900488C4E,105
106,1.106,Musiktheater der ev. Kirchengemeinde Moers,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.44757,6.61146,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/79FD946E9061B1B7C125724900488C3A,106
107,1.107,Niederrhein-Löwen Moers e.V.,"['--ALLE--', 'Sonstige Vereine']",Sonstige Vereine,51.4545293,6.6007622,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/1A7DCA211BD0A34AC125749B0041D591,107
108,1.108,Niederrheinische Berg- und Wanderfreunde e.V.,"['--ALLE--', 'Sportvereine', 'Sonstige Vereine']",Wandern,51.44546,6.66966,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/AE6D367D85CE3592C12573CA004FD41D,108
109,1.109,Niederrheinisches Kammerorchester Moers (NKM),"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.398494,6.62972,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/AFA2F8A08FC5389CC125724900488C4F,109
110,1.110,Niederrheinisches Männerquartett -Glück Auf-,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.453954,6.6292674,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/4EDF250DFC7CD98DC125724900488C50,110
111,1.111,Ökumenischer Arbeitskreis Kirche und Kultur,"['--ALLE--', 'Kulturvereine']",Sonstige Kulturvereine,51.4546846,6.6294234,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/F6C2709250441A63C125724900488CC8,111
112,1.112,Partnerschaftsverein La Trinidad-Moers e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.45323,6.63204,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/9BB1CAAB005B1044C125724900488CB2,112
113,1.113,Partnerschaftsverein Ramla-Moers e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.45323,6.63204,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/F8728E7270FEA7B2C125724900488CB3,113
114,1.114,Philharmonischer Chor Moers 1996,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.54236,6.58806,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/F80F4A568BE78F02C125724900488C51,114
115,1.115,Pistolensportgilde Moers 1986 e.V.,"['--ALLE--', 'Sportvereine']",Schießsport,51.449,6.6335,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/B60EFAD24C5E57D0C125724900488C87,115
116,1.116,Polizei-Sportschützen Moers 1953 e.V.,"['--ALLE--', 'Sportvereine']",Schießsport,51.44468,6.66584,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/05F007B34C89BF73C125724900488C88,116
117,1.117,Prinzengemeinschaft der Grafschaft Moers e.V.,"['--ALLE--', 'Kulturvereine']",Karneval,51.4590996,6.6302185,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/A2BE95FC454AA7FAC125724900488C5E,117
118,1.118,Rad-Sport-Club Moers 1978 e.V.,"['--ALLE--', 'Sportvereine']","['Gymnastik', 'Radtouristikfahren', 'Radwandern', 'Wandern']",51.4516041,6.6408148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/ECEF24F7AF5567DDC125724900488C89,118
119,1.119,Reha Breiten- und Behinderten-Sport-Gemeinschaft Moers e.V.,"['--ALLE--', 'Sportvereine', 'Behindertensport']","['Behindertensport', 'Bogenschießen', 'Bosseln', 'Fußballtennis', 'Gymnastik', 'Sitzball', 'Torball', 'Wassergymnastik']",51.4648769,6.6436803,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/BCC52B3FE48230ECC125724900488C64,119
120,1.120,Reit- und Fahrverein Birkenhof Vennikel 1996 e.V.,"['--ALLE--', 'Sportvereine']","['Reiten', 'Fahrsport']",51.39683,6.63685,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/AE96E6261D6B3818C125724900488C8A,120
121,1.121,"Reit-, Fahr- und Voltigierverein Dongrathshof 1999 e.V.","['--ALLE--', 'Sportvereine']","['Reiten', 'Fahrsport', 'Voltigieren']",51.4821703,6.5911726,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/71A2C5C5766E9AF6C125724900488C8B,121
122,1.122,Repelen aktiv,--ALLE--,Sonstige Vereine,51.499762,6.6003851,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/B513F23465868458C125724900488C3B,122
