,pos,name,cat1,cat2,x,y,url,id
81,9.16,Grafschafter Gymnasium,Turn- und Sporthallen,,51.45093,6.63374,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/6FB0D55A445F4B27C1257249004FC93F,81
82,9.17,Gymnasium Rheinkamp,Turn- und Sporthallen,,51.4816353,6.6122377,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/6115E38295839070C1257249004FC940,82
84,9.19,Hauswirtschaftliche Berufsschule,Turn- und Sporthallen,,51.4533072,6.6335484,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/7604116AA2F52E94C1257249004FC942,84
85,9.20,Hermann-Runge-Gesamtschule,Turn- und Sporthallen,,51.45441,6.63285,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/E23339C0BB34FAF0C1257249004FC943,85
86,9.21,Justus-von-Liebig-Schule,Turn- und Sporthallen,,51.45132,6.64696,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/0BDB31B52ADE63FCC1257249004FC944,86
87,9.22,Kaufmännische Berufsschule,Turn- und Sporthallen,,51.4459486,6.6378271,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/2F33B866B86B61E4C1257249004FC945,87
88,9.23,Moers-Asberg,Turn- und Sporthallen,,51.4402516,6.6572811,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/AC6D0F2A70C19C61C1257249004FC946,88
89,9.24,Moers-Hülsdonk,Turn- und Sporthallen,,51.44776,6.60824,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/D55BD740E3DE6632C1257249004FC947,89
90,9.25,Moers-Scherpenberg,Turn- und Sporthallen,,51.4507773,6.6706225,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/249586655472EE75C1257249004FC948,90
91,9.26,Regenbogenschule,Turn- und Sporthallen,,51.4794,6.61804,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/9A4903F107165A2AC1257249004FC949,91
92,9.27,Repelen,Turn- und Sporthallen,,51.48116,6.60181,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/7C4720A5B0DADC01C1257249004FC94A,92
93,9.28,Rheim,Turn- und Sporthallen,,51.48799,6.59745,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/848EC2D7A6B7C5D1C1257249004FC94B,93
94,9.29,Römerstraße,Turn- und Sporthallen,,51.46644,6.65073,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/A0A308556BD10A71C1257249004FC94C,94
95,9.30,Turnhalle der Robinsonschule,Turn- und Sporthallen,,51.48672,6.63855,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/6BD3F55B805A428DC1257249004FC94E,95
96,9.31,Turnhalle Waldschule Schwafheim,Turn- und Sporthallen,,51.4232442,6.6518708,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/A67BE5FD2AAB44CBC1257249004FC94F,96
